

*******************************************************************************
Ephemeris / WWW_USER Wed Mar 13 11:05:03 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (spacecraft) (-21)         {source: SOHO_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1995-Dec-02 00:01:02.0000 TDB
Stop  time      : A.D. 1996-Jan-06 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240312.p240605
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-12. PREDICTS-> 2024-JUN-04
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450053.500717592, A.D. 1995-Dec-02 00:01:02.0000,  3.608666546989455E+04, -9.959822665229425E+04, -5.502977381233508E+04, -1.401825163184581E-01,  2.121860067017046E+00,  1.201133935349615E+00,
2450053.542384259, A.D. 1995-Dec-02 01:01:02.0000,  3.552319782732305E+04, -9.180091588767908E+04, -5.061810507404409E+04, -1.740430369840044E-01,  2.212164144080980E+00,  1.250982255858328E+00,
2450053.584050926, A.D. 1995-Dec-02 02:01:02.0000,  3.482343924540648E+04, -8.365265283120355E+04, -4.601292567847181E+04, -2.163765100761037E-01,  2.317514954062408E+00,  1.309005576845024E+00,
2450053.625717592, A.D. 1995-Dec-02 03:01:02.0000,  3.395079673599218E+04, -7.509078434737619E+04, -4.118025638778575E+04, -2.708648440758097E-01,  2.442975473009929E+00,  1.377916451286939E+00,
2450053.667384259, A.D. 1995-Dec-02 04:01:02.0000,  3.285135321552043E+04, -6.602982198621989E+04, -3.607391576532711E+04, -3.437295334828972E-01,  2.596440752705201E+00,  1.461923627160839E+00,
2450053.709050926, A.D. 1995-Dec-02 05:01:02.0000,  3.144059333452992E+04, -5.634738297906388E+04, -3.062812310834344E+04, -4.464166976073974E-01,  2.791098152575219E+00,  1.568008070763392E+00,
2450053.750717592, A.D. 1995-Dec-02 06:01:02.0000,  2.957406471088972E+04, -4.585639056291343E+04, -2.474302506063977E+04, -6.026558750314931E-01,  3.051139426176388E+00,  1.708851962518439E+00,
2450053.792384259, A.D. 1995-Dec-02 07:01:02.0000,  2.697053617123445E+04, -3.424236622498088E+04, -1.825251919476387E+04, -8.714237155126598E-01,  3.427388655589761E+00,  1.910681822119058E+00,
2450053.834050926, A.D. 1995-Dec-02 08:01:02.0000,  2.294650973986922E+04, -2.089171553308532E+04, -1.083867287654573E+04, -1.453485753262568E+00,  4.051372226868207E+00,  2.239167877220424E+00,
