

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 12 06:55:59 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (spacecraft) (-21)         {source: SOHO_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1995-Dec-02 00:02:00.0000 TDB
Stop  time      : A.D. 2005-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240311.p240604
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-11. PREDICTS-> 2024-JUN-03
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450053.501388889, A.D. 1995-Dec-02 00:02:00.0000,  3.607851969217337E+04, -9.947511940318070E+04, -5.496008730600768E+04, -1.406743680222412E-01,  2.123215321317139E+00,  1.201882766860347E+00,
2450054.501388889, A.D. 1995-Dec-03 00:02:00.0000, -7.835964239617658E+04, -1.174481860500472E+05, -7.050999133976137E+04, -6.135932114253271E-01, -1.718321348440658E+00, -1.006461920440822E+00,
2450055.501388889, A.D. 1995-Dec-04 00:02:00.0000, -1.147972657529366E+05, -2.380671951659406E+05, -1.408254890692995E+05, -3.074196537298943E-01, -1.181446712542040E+00, -6.860645563074872E-01,
2450056.501388889, A.D. 1995-Dec-05 00:02:00.0000, -1.364712308107499E+05, -3.293506174272315E+05, -1.937358125525001E+05, -2.072440848363940E-01, -9.554030891356502E-01, -5.525737501700594E-01,
2450057.501388889, A.D. 1995-Dec-06 00:02:00.0000, -1.519019089621864E+05, -4.056725422005136E+05, -2.377773264484228E+05, -1.543435373108165E-01, -8.203527188590097E-01, -4.722283664353817E-01,
2450058.501388889, A.D. 1995-Dec-07 00:02:00.0000, -1.636637199445751E+05, -4.722395062726085E+05, -2.760009336038946E+05, -1.200217010547196E-01, -7.253736671080084E-01, -4.153987855851349E-01,
2450059.501388889, A.D. 1995-Dec-08 00:02:00.0000, -1.729117305553358E+05, -5.316676133545027E+05, -3.099377454126448E+05, -9.522110779211936E-02, -6.532428405100441E-01, -3.719021721972684E-01,
2450060.501388889, A.D. 1995-Dec-09 00:02:00.0000, -1.802752974738900E+05, -5.855384316381778E+05, -3.405089273394219E+05, -7.594282111524328E-02, -5.957567913813508E-01, -3.369193047544115E-01,
2450061.501388889, A.D. 1995-Dec-10 00:02:00.0000, -1.861332856825425E+05, -6.349037142337473E+05, -3.683253238628741E+05, -6.011690023982799E-02, -5.483719905131953E-01, -3.077996677837769E-01,
