

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:55:37 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Apr-01 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Jan-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450174.500000000, A.D. 1996-Apr-01 00:00:00.0000, -1.468014997203444E+08, -2.991484085902989E+07, -2.430604891325161E+04,  5.144962778764059E+00, -3.020187563123144E+01,  7.027551701466983E-02,
2450174.541666667, A.D. 1996-Apr-01 01:00:00.0000, -1.467829252653248E+08, -3.002356656850182E+07, -2.405205554008298E+04,  5.174184889722214E+00, -3.020128169598422E+01,  7.083102295332111E-02,
2450174.583333333, A.D. 1996-Apr-01 02:00:00.0000, -1.467642455463418E+08, -3.013228998183021E+07, -2.379607198692858E+04,  5.203442664329553E+00, -3.020059991851046E+01,  7.138116310841625E-02,
2450174.625000000, A.D. 1996-Apr-01 03:00:00.0000, -1.467454604360263E+08, -3.024101078194854E+07, -2.353811767267436E+04,  5.232735534792160E+00, -3.019982983566335E+01,  7.192588079132811E-02,
2450174.666666667, A.D. 1996-Apr-01 04:00:00.0000, -1.467265698090648E+08, -3.034972865012795E+07, -2.327821222014353E+04,  5.262062927122829E+00, -3.019897098705266E+01,  7.246511938794953E-02,
2450174.708333333, A.D. 1996-Apr-01 05:00:00.0000, -1.467075735422208E+08, -3.045844326598724E+07, -2.301637545582652E+04,  5.291424261114392E+00, -3.019802291513738E+01,  7.299882236620370E-02,
2450174.750000000, A.D. 1996-Apr-01 06:00:00.0000, -1.466884715143583E+08, -3.056715430750334E+07, -2.275262740958109E+04,  5.320818950314509E+00, -3.019698516531982E+01,  7.352693328368254E-02,
2450174.791666667, A.D. 1996-Apr-01 07:00:00.0000, -1.466692636064633E+08, -3.067586145102206E+07, -2.248698831427284E+04,  5.350246402001917E+00, -3.019585728604097E+01,  7.404939579547154E-02,
2450174.833333333, A.D. 1996-Apr-01 08:00:00.0000, -1.466499497016674E+08, -3.078456437126924E+07, -2.221947860543057E+04,  5.379706017164236E+00, -3.019463882887724E+01,  7.456615366210961E-02,
2450174.875000000, A.D. 1996-Apr-01 09:00:00.0000, -1.466305296852697E+08, -3.089326274136215E+07, -2.195011892083846E+04,  5.409197190477316E+00, -3.019332934863843E+01,  7.507715075772836E-02,
