

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:54:40 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (spacecraft) (-21)         {source: SOHO_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Apr-01 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Jan-01 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450174.500000000, A.D. 1996-Apr-01 00:00:00.0000, -1.452828610242030E+08, -2.942536936130714E+07,  8.078073845541105E+04,  5.364850762939725E+00, -2.883232527701448E+01, -3.509148368237192E-02,
2450174.541666667, A.D. 1996-Apr-01 01:00:00.0000, -1.452635104582033E+08, -2.952915861110139E+07,  8.065427311210893E+04,  5.385446922805341E+00, -2.882840063126538E+01, -3.515343212826139E-02,
2450174.583333333, A.D. 1996-Apr-01 02:00:00.0000, -1.452440858314880E+08, -2.963293375793530E+07,  8.052760678870603E+04,  5.406040416345642E+00, -2.882446162333210E+01, -3.521502145780886E-02,
2450174.625000000, A.D. 1996-Apr-01 03:00:00.0000, -1.452245870395071E+08, -2.973669471041338E+07,  8.040072907119617E+04,  5.426631236920584E+00, -2.882050825679755E+01, -3.527649836487079E-02,
2450174.666666667, A.D. 1996-Apr-01 04:00:00.0000, -1.452050140722757E+08, -2.984044140501694E+07,  8.027362278880365E+04,  5.447219353472562E+00, -2.881654051928209E+01, -3.533782795570950E-02,
2450174.708333333, A.D. 1996-Apr-01 05:00:00.0000, -1.451853670386438E+08, -2.994417378616536E+07,  8.014629677228443E+04,  5.467804688362632E+00, -2.881255832720837E+01, -3.539897285451765E-02,
2450174.750000000, A.D. 1996-Apr-01 06:00:00.0000, -1.451656458662251E+08, -3.004789180664918E+07,  8.001874292969145E+04,  5.488387328542225E+00, -2.880856180823568E+01, -3.546008349653640E-02,
2450174.791666667, A.D. 1996-Apr-01 07:00:00.0000, -1.451458506680585E+08, -3.015159540959773E+07,  7.989098020645976E+04,  5.508967154360223E+00, -2.880455092879201E+01, -3.552096568042273E-02,
2450174.833333333, A.D. 1996-Apr-01 08:00:00.0000, -1.451259813593075E+08, -3.025528455653175E+07,  7.976300288081728E+04,  5.529544199584196E+00, -2.880052575974275E+01, -3.558179436735998E-02,
2450174.875000000, A.D. 1996-Apr-01 09:00:00.0000, -1.451060379512210E+08, -3.035895918479614E+07,  7.963479287487455E+04,  5.550118516917903E+00, -2.879648614269286E+01, -3.564245531099886E-02,
