

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:44:56 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450162.500000000, A.D. 1996-Mar-20 00:00:00.0000, -1.489909646932493E+08,  7.205787489398840E+05, -3.925372528437874E+02, -6.296099715102456E-01, -2.991246890459566E+01,  8.834731709512766E-04,
2450162.500694444, A.D. 1996-Mar-20 00:01:00.0000, -1.489910024590240E+08,  7.187840007611670E+05, -3.924842433887243E+02, -6.292491870616815E-01, -2.991247038529082E+01,  8.835086940646164E-04,
2450162.501388889, A.D. 1996-Mar-20 00:02:00.0000, -1.489910402031517E+08,  7.169892524937440E+05, -3.924312318015436E+02, -6.288884028064426E-01, -2.991247186131778E+01,  8.835441845942427E-04,
2450162.502083333, A.D. 1996-Mar-20 00:03:00.0000, -1.489910779256324E+08,  7.151945041379007E+05, -3.923782180863200E+02, -6.285276187446414E-01, -2.991247333267657E+01,  8.835796425366027E-04,
2450162.502777778, A.D. 1996-Mar-20 00:04:00.0000, -1.489911156264660E+08,  7.133997556939173E+05, -3.923252022461093E+02, -6.281668348763899E-01, -2.991247479936723E+01,  8.836150679023547E-04,
2450162.503472222, A.D. 1996-Mar-20 00:05:00.0000, -1.489911533056526E+08,  7.116050071620701E+05, -3.922721842785541E+02, -6.278060512018040E-01, -2.991247626138976E+01,  8.836504606808404E-04,
2450162.504166667, A.D. 1996-Mar-20 00:06:00.0000, -1.489911909631922E+08,  7.098102585426423E+05, -3.922191641898826E+02, -6.274452677209947E-01, -2.991247771874422E+01,  8.836858208756126E-04,
2450162.504861111, A.D. 1996-Mar-20 00:07:00.0000, -1.489912285990847E+08,  7.080155098359135E+05, -3.921661419805023E+02, -6.270844844340748E-01, -2.991247917143062E+01,  8.837211484955532E-04,
2450162.505555556, A.D. 1996-Mar-20 00:08:00.0000, -1.489912662133303E+08,  7.062207610421653E+05, -3.921131176536146E+02, -6.267237013411587E-01, -2.991248061944899E+01,  8.837564435317802E-04,
2450162.506250000, A.D. 1996-Mar-20 00:09:00.0000, -1.489913038059289E+08,  7.044260121616739E+05, -3.920600912084337E+02, -6.263629184423596E-01, -2.991248206279936E+01,  8.837917059842937E-04,
