

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:43:28 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450162.500000000, A.D. 1996-Mar-20 00:00:00.0000, -1.486192758587632E+08,  7.653447824820257E+05,  5.774839236134663E+03, -7.053224061230777E-01, -2.886504879591740E+01, -9.324817049252765E-02,
2450162.500694444, A.D. 1996-Mar-20 00:01:00.0000, -1.486193181723729E+08,  7.636128788864947E+05,  5.769244261213578E+03, -7.051312515958029E-01, -2.886507105921977E+01, -9.325099306199469E-02,
2450162.501388889, A.D. 1996-Mar-20 00:02:00.0000, -1.486193604745133E+08,  7.618809739544421E+05,  5.763649117019784E+03, -7.049400911843353E-01, -2.886509334647514E+01, -9.325381297914781E-02,
2450162.502083333, A.D. 1996-Mar-20 00:03:00.0000, -1.486194027651838E+08,  7.601490676844369E+05,  5.758053803709976E+03, -7.047489248837915E-01, -2.886511565768151E+01, -9.325663024402076E-02,
2450162.502777778, A.D. 1996-Mar-20 00:04:00.0000, -1.486194450443841E+08,  7.584171600750423E+05,  5.752458321442595E+03, -7.045577526892891E-01, -2.886513799283697E+01, -9.325944485664905E-02,
2450162.503472222, A.D. 1996-Mar-20 00:05:00.0000, -1.486194873121140E+08,  7.566852511248176E+05,  5.746862670380448E+03, -7.043665745959493E-01, -2.886516035193953E+01, -9.326225681707001E-02,
2450162.504166667, A.D. 1996-Mar-20 00:06:00.0000, -1.486195295683730E+08,  7.549533408323292E+05,  5.741266850679065E+03, -7.041753905988898E-01, -2.886518273498724E+01, -9.326506612531560E-02,
2450162.504861111, A.D. 1996-Mar-20 00:07:00.0000, -1.486195718131607E+08,  7.532214291961394E+05,  5.735670862498868E+03, -7.039842006932304E-01, -2.886520514197814E+01, -9.326787278141602E-02,
2450162.505555556, A.D. 1996-Mar-20 00:08:00.0000, -1.486196140464770E+08,  7.514895162148142E+05,  5.730074705997424E+03, -7.037930048740932E-01, -2.886522757291027E+01, -9.327067678541390E-02,
2450162.506250000, A.D. 1996-Mar-20 00:09:00.0000, -1.486196562683212E+08,  7.497576018869125E+05,  5.724478381337074E+03, -7.036018031366001E-01, -2.886525002778168E+01, -9.327347813734299E-02,
