

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:35:43 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Jan-04 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Jan-06 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450086.500000000, A.D. 1996-Jan-04 00:00:00.0000, -3.292599821695639E+07,  1.437448958185171E+08, -2.898430154769123E+04, -3.046751814519642E+01, -6.659292932619489E+00, -4.332044999671014E-02,
2450086.500694444, A.D. 1996-Jan-04 00:01:00.0000, -3.292782626614737E+07,  1.437444962459249E+08, -2.898690044478327E+04, -3.046745488310360E+01, -6.659793477260957E+00, -4.330945278021270E-02,
2450086.501388889, A.D. 1996-Jan-04 00:02:00.0000, -3.292965431154186E+07,  1.437440966432999E+08, -2.898949868201464E+04, -3.046739159574843E+01, -6.660294022882099E+00, -4.329845467393723E-02,
2450086.502083333, A.D. 1996-Jan-04 00:03:00.0000, -3.293148235313835E+07,  1.437436970106421E+08, -2.899209625932574E+04, -3.046732828313074E+01, -6.660794569480139E+00, -4.328745567810799E-02,
2450086.502777778, A.D. 1996-Jan-04 00:04:00.0000, -3.293331039093533E+07,  1.437432973479515E+08, -2.899469317666441E+04, -3.046726494525034E+01, -6.661295117052303E+00, -4.327645579294570E-02,
2450086.503472222, A.D. 1996-Jan-04 00:05:00.0000, -3.293513842493128E+07,  1.437428976552280E+08, -2.899728943400085E+04, -3.046720158210712E+01, -6.661795665595813E+00, -4.326545501867507E-02,
2450086.504166667, A.D. 1996-Jan-04 00:06:00.0000, -3.293696645512468E+07,  1.437424979324716E+08, -2.899988503125310E+04, -3.046713819370089E+01, -6.662296215107895E+00, -4.325445335551725E-02,
2450086.504861111, A.D. 1996-Jan-04 00:07:00.0000, -3.293879448151402E+07,  1.437420981796822E+08, -2.900247996839136E+04, -3.046707478003151E+01, -6.662796765585774E+00, -4.324345080369518E-02,
2450086.505555556, A.D. 1996-Jan-04 00:08:00.0000, -3.294062250409777E+07,  1.437416983968597E+08, -2.900507424533367E+04, -3.046701134109880E+01, -6.663297317026668E+00, -4.323244736343135E-02,
2450086.506250000, A.D. 1996-Jan-04 00:09:00.0000, -3.294245052287444E+07,  1.437412985840042E+08, -2.900766786205769E+04, -3.046694787690262E+01, -6.663797869427810E+00, -4.322144303494824E-02,
2450086.506944444, A.D. 1996-Jan-04 00:10:00.0000, -3.294427853784250E+07,  1.437408987411154E+08, -2.901026081848145E+04, -3.046688438744281E+01, -6.664298422786419E+00, -4.321043781846923E-02,
2450086.507638889, A.D. 1996-Jan-04 00:11:00.0000, -3.294610654900043E+07,  1.437404988681934E+08, -2.901285311456770E+04, -3.046682087271921E+01, -6.664798977099720E+00, -4.319943171421681E-02,
2450086.508333333, A.D. 1996-Jan-04 00:12:00.0000, -3.294793455634672E+07,  1.437400989652381E+08, -2.901544475027174E+04, -3.046675733273166E+01, -6.665299532364941E+00, -4.318842472241169E-02,
2450086.509027778, A.D. 1996-Jan-04 00:13:00.0000, -3.294976255987985E+07,  1.437396990322495E+08, -2.901803572551906E+04, -3.046669376748001E+01, -6.665800088579299E+00, -4.317741684327903E-02,
2450086.509722222, A.D. 1996-Jan-04 00:14:00.0000, -3.295159055959831E+07,  1.437392990692275E+08, -2.902062604026496E+04, -3.046663017696410E+01, -6.666300645740023E+00, -4.316640807704086E-02,
2450086.510416667, A.D. 1996-Jan-04 00:15:00.0000, -3.295341855550059E+07,  1.437388990761720E+08, -2.902321569447219E+04, -3.046656656118378E+01, -6.666801203844338E+00, -4.315539842391791E-02,
2450086.511111111, A.D. 1996-Jan-04 00:16:00.0000, -3.295524654758515E+07,  1.437384990530830E+08, -2.902580468805879E+04, -3.046650292013888E+01, -6.667301762889466E+00, -4.314438788413533E-02,
2450086.511805556, A.D. 1996-Jan-04 00:17:00.0000, -3.295707453585050E+07,  1.437380989999604E+08, -2.902839302100241E+04, -3.046643925382926E+01, -6.667802322872633E+00, -4.313337645791560E-02,
2450086.512500000, A.D. 1996-Jan-04 00:18:00.0000, -3.295890252029511E+07,  1.437376989168042E+08, -2.903098069322109E+04, -3.046637556225476E+01, -6.668302883791061E+00, -4.312236414547943E-02,
2450086.513194445, A.D. 1996-Jan-04 00:19:00.0000, -3.296073050091746E+07,  1.437372988036143E+08, -2.903356770467013E+04, -3.046631184541523E+01, -6.668803445641976E+00, -4.311135094705154E-02,
2450086.513888889, A.D. 1996-Jan-04 00:20:00.0000, -3.296255847771605E+07,  1.437368986603907E+08, -2.903615405531228E+04, -3.046624810331050E+01, -6.669304008422601E+00, -4.310033686285397E-02,
2450086.514583333, A.D. 1996-Jan-04 00:21:00.0000, -3.296438645068935E+07,  1.437364984871333E+08, -2.903873974508047E+04, -3.046618433594043E+01, -6.669804572130161E+00, -4.308932189310966E-02,
2450086.515277778, A.D. 1996-Jan-04 00:22:00.0000, -3.296621441983585E+07,  1.437360982838421E+08, -2.904132477393746E+04, -3.046612054330486E+01, -6.670305136761883E+00, -4.307830603803930E-02,
2450086.515972222, A.D. 1996-Jan-04 00:23:00.0000, -3.296804238515404E+07,  1.437356980505169E+08, -2.904390914178640E+04, -3.046605672540365E+01, -6.670805702314985E+00, -4.306728929786896E-02,
2450086.516666667, A.D. 1996-Jan-04 00:24:00.0000, -3.296987034664240E+07,  1.437352977871578E+08, -2.904649284863472E+04, -3.046599288223663E+01, -6.671306268786696E+00, -4.305627167281978E-02,
2450086.517361111, A.D. 1996-Jan-04 00:25:00.0000, -3.297169830429941E+07,  1.437348974937646E+08, -2.904907589437813E+04, -3.046592901380366E+01, -6.671806836174238E+00, -4.304525316311469E-02,
2450086.518055555, A.D. 1996-Jan-04 00:26:00.0000, -3.297352625812355E+07,  1.437344971703374E+08, -2.905165827899426E+04, -3.046586512010457E+01, -6.672307404474837E+00, -4.303423376897619E-02,
2450086.518750000, A.D. 1996-Jan-04 00:27:00.0000, -3.297535420811332E+07,  1.437340968168761E+08, -2.905424000241607E+04, -3.046580120113923E+01, -6.672807973685717E+00, -4.302321349062677E-02,
2450086.519444444, A.D. 1996-Jan-04 00:28:00.0000, -3.297718215426718E+07,  1.437336964333805E+08, -2.905682106458396E+04, -3.046573725690746E+01, -6.673308543804101E+00, -4.301219232829023E-02,
2450086.520138889, A.D. 1996-Jan-04 00:29:00.0000, -3.297901009658364E+07,  1.437332960198508E+08, -2.905940146547556E+04, -3.046567328740913E+01, -6.673809114827213E+00, -4.300117028218953E-02,
2450086.520833333, A.D. 1996-Jan-04 00:30:00.0000, -3.298083803506117E+07,  1.437328955762867E+08, -2.906198120499402E+04, -3.046560929264409E+01, -6.674309686752278E+00, -4.299014735254625E-02,
2450086.521527778, A.D. 1996-Jan-04 00:31:00.0000, -3.298266596969825E+07,  1.437324951026884E+08, -2.906456028313935E+04, -3.046554527261218E+01, -6.674810259576523E+00, -4.297912353958289E-02,
2450086.522222222, A.D. 1996-Jan-04 00:32:00.0000, -3.298449390049337E+07,  1.437320945990556E+08, -2.906713869980723E+04, -3.046548122731326E+01, -6.675310833297167E+00, -4.296809884352459E-02,
2450086.522916667, A.D. 1996-Jan-04 00:33:00.0000, -3.298632182744502E+07,  1.437316940653884E+08, -2.906971645497531E+04, -3.046541715674716E+01, -6.675811407911436E+00, -4.295707326459164E-02,
2450086.523611111, A.D. 1996-Jan-04 00:34:00.0000, -3.298814975055168E+07,  1.437312935016866E+08, -2.907229354858398E+04, -3.046535306091374E+01, -6.676311983416555E+00, -4.294604680300962E-02,
2450086.524305556, A.D. 1996-Jan-04 00:35:00.0000, -3.298997766981182E+07,  1.437308929079503E+08, -2.907486998057365E+04, -3.046528893981286E+01, -6.676812559809751E+00, -4.293501945899969E-02,
2450086.525000000, A.D. 1996-Jan-04 00:36:00.0000, -3.299180558522395E+07,  1.437304922841794E+08, -2.907744575090706E+04, -3.046522479344435E+01, -6.677313137088243E+00, -4.292399123278434E-02,
2450086.525694444, A.D. 1996-Jan-04 00:37:00.0000, -3.299363349678653E+07,  1.437300916303738E+08, -2.908002085950226E+04, -3.046516062180809E+01, -6.677813715249257E+00, -4.291296212458739E-02,
2450086.526388889, A.D. 1996-Jan-04 00:38:00.0000, -3.299546140449806E+07,  1.437296909465336E+08, -2.908259530633688E+04, -3.046509642490390E+01, -6.678314294290019E+00, -4.290193213463178E-02,
2450086.527083333, A.D. 1996-Jan-04 00:39:00.0000, -3.299728930835702E+07,  1.437292902326585E+08, -2.908516909134388E+04, -3.046503220273165E+01, -6.678814874207754E+00, -4.289090126313910E-02,
2450086.527777778, A.D. 1996-Jan-04 00:40:00.0000, -3.299911720836188E+07,  1.437288894887487E+08, -2.908774221447855E+04, -3.046496795529119E+01, -6.679315454999681E+00, -4.287986951033362E-02,
2450086.528472222, A.D. 1996-Jan-04 00:41:00.0000, -3.300094510451115E+07,  1.437284887148039E+08, -2.909031467565894E+04, -3.046490368258236E+01, -6.679816036663031E+00, -4.286883687643872E-02,
2450086.529166667, A.D. 1996-Jan-04 00:42:00.0000, -3.300277299680329E+07,  1.437280879108242E+08, -2.909288647488505E+04, -3.046483938460502E+01, -6.680316619195022E+00, -4.285780336167599E-02,
2450086.529861111, A.D. 1996-Jan-04 00:43:00.0000, -3.300460088523679E+07,  1.437276870768096E+08, -2.909545761205256E+04, -3.046477506135903E+01, -6.680817202592880E+00, -4.284676896626971E-02,
2450086.530555556, A.D. 1996-Jan-04 00:44:00.0000, -3.300642876981014E+07,  1.437272862127599E+08, -2.909802808713913E+04, -3.046471071284424E+01, -6.681317786853833E+00, -4.283573369044191E-02,
2450086.531250000, A.D. 1996-Jan-04 00:45:00.0000, -3.300825665052183E+07,  1.437268853186752E+08, -2.910059790008515E+04, -3.046464633906049E+01, -6.681818371975101E+00, -4.282469753441598E-02,
2450086.531944444, A.D. 1996-Jan-04 00:46:00.0000, -3.301008452737033E+07,  1.437264843945552E+08, -2.910316705082357E+04, -3.046458194000765E+01, -6.682318957953909E+00, -4.281366049841395E-02,
2450086.532638889, A.D. 1996-Jan-04 00:47:00.0000, -3.301191240035412E+07,  1.437260834404002E+08, -2.910573553932458E+04, -3.046451751568557E+01, -6.682819544787484E+00, -4.280262258265966E-02,
2450086.533333333, A.D. 1996-Jan-04 00:48:00.0000, -3.301374026947170E+07,  1.437256824562099E+08, -2.910830336552113E+04, -3.046445306609409E+01, -6.683320132473045E+00, -4.279158378737735E-02,
2450086.534027778, A.D. 1996-Jan-04 00:49:00.0000, -3.301556813472155E+07,  1.437252814419842E+08, -2.911087052934617E+04, -3.046438859123308E+01, -6.683820721007820E+00, -4.278054411278820E-02,
2450086.534722222, A.D. 1996-Jan-04 00:50:00.0000, -3.301739599610215E+07,  1.437248803977233E+08, -2.911343703079224E+04, -3.046432409110238E+01, -6.684321310389034E+00, -4.276950355911557E-02,
2450086.535416667, A.D. 1996-Jan-04 00:51:00.0000, -3.301922385361198E+07,  1.437244793234270E+08, -2.911600286976993E+04, -3.046425956570187E+01, -6.684821900613907E+00, -4.275846212658330E-02,
2450086.536111111, A.D. 1996-Jan-04 00:52:00.0000, -3.302105170724953E+07,  1.437240782190952E+08, -2.911856804623455E+04, -3.046419501503138E+01, -6.685322491679670E+00, -4.274741981541474E-02,
2450086.536805556, A.D. 1996-Jan-04 00:53:00.0000, -3.302287955701328E+07,  1.437236770847280E+08, -2.912113256013393E+04, -3.046413043909078E+01, -6.685823083583539E+00, -4.273637662583063E-02,
2450086.537500000, A.D. 1996-Jan-04 00:54:00.0000, -3.302470740290171E+07,  1.437232759203252E+08, -2.912369641141593E+04, -3.046406583787992E+01, -6.686323676322743E+00, -4.272533255805655E-02,
2450086.538194444, A.D. 1996-Jan-04 00:55:00.0000, -3.302653524491331E+07,  1.437228747258868E+08, -2.912625960001349E+04, -3.046400121139865E+01, -6.686824269894508E+00, -4.271428761231411E-02,
2450086.538888889, A.D. 1996-Jan-04 00:56:00.0000, -3.302836308304657E+07,  1.437224735014127E+08, -2.912882212590426E+04, -3.046393655964685E+01, -6.687324864296053E+00, -4.270324178882756E-02,
2450086.539583333, A.D. 1996-Jan-04 00:57:00.0000, -3.303019091729997E+07,  1.437220722469031E+08, -2.913138398902118E+04, -3.046387188262435E+01, -6.687825459524604E+00, -4.269219508781941E-02,
2450086.540277778, A.D. 1996-Jan-04 00:58:00.0000, -3.303201874767198E+07,  1.437216709623576E+08, -2.913394518928975E+04, -3.046380718033102E+01, -6.688326055577390E+00, -4.268114750951213E-02,
2450086.540972222, A.D. 1996-Jan-04 00:59:00.0000, -3.303384657416110E+07,  1.437212696477764E+08, -2.913650572670996E+04, -3.046374245276671E+01, -6.688826652451628E+00, -4.267009905413044E-02,
2450086.541666667, A.D. 1996-Jan-04 01:00:00.0000, -3.303567439676581E+07,  1.437208683031593E+08, -2.913906560116261E+04, -3.046367769993130E+01, -6.689327250144546E+00, -4.265904972189638E-02,
2450086.542361111, A.D. 1996-Jan-04 01:01:00.0000, -3.303750221548459E+07,  1.437204669285063E+08, -2.914162481265515E+04, -3.046361292182461E+01, -6.689827848653366E+00, -4.264799951303466E-02,
2450086.543055556, A.D. 1996-Jan-04 01:02:00.0000, -3.303933003031593E+07,  1.437200655238174E+08, -2.914418336109072E+04, -3.046354811844652E+01, -6.690328447975319E+00, -4.263694842776422E-02,
2450086.543750000, A.D. 1996-Jan-04 01:03:00.0000, -3.304115784125830E+07,  1.437196640890926E+08, -2.914674124644697E+04, -3.046348328979690E+01, -6.690829048107620E+00, -4.262589646631287E-02,
2450086.544444445, A.D. 1996-Jan-04 01:04:00.0000, -3.304298564831020E+07,  1.437192626243317E+08, -2.914929846864939E+04, -3.046341843587559E+01, -6.691329649047500E+00, -4.261484362890133E-02,
2450086.545138889, A.D. 1996-Jan-04 01:05:00.0000, -3.304481345147010E+07,  1.437188611295347E+08, -2.915185502766818E+04, -3.046335355668245E+01, -6.691830250792179E+00, -4.260378991575475E-02,
2450086.545833333, A.D. 1996-Jan-04 01:06:00.0000, -3.304664125073649E+07,  1.437184596047015E+08, -2.915441092342138E+04, -3.046328865221736E+01, -6.692330853338883E+00, -4.259273532709429E-02,
2450086.546527778, A.D. 1996-Jan-04 01:07:00.0000, -3.304846904610786E+07,  1.437180580498323E+08, -2.915696615588665E+04, -3.046322372248014E+01, -6.692831456684835E+00, -4.258167986314421E-02,
2450086.547222222, A.D. 1996-Jan-04 01:08:00.0000, -3.305029683758268E+07,  1.437176564649267E+08, -2.915952072498947E+04, -3.046315876747069E+01, -6.693332060827261E+00, -4.257062352412744E-02,
2450086.547916667, A.D. 1996-Jan-04 01:09:00.0000, -3.305212462515945E+07,  1.437172548499849E+08, -2.916207463069260E+04, -3.046309378718886E+01, -6.693832665763384E+00, -4.255956631026825E-02,
2450086.548611111, A.D. 1996-Jan-04 01:10:00.0000, -3.305395240883664E+07,  1.437168532050068E+08, -2.916462787292153E+04, -3.046302878163449E+01, -6.694333271490429E+00, -4.254850822178824E-02,
2450086.549305555, A.D. 1996-Jan-04 01:11:00.0000, -3.305578018861274E+07,  1.437164515299923E+08, -2.916718045164645E+04, -3.046296375080748E+01, -6.694833878005619E+00, -4.253744925891123E-02,
2450086.550000000, A.D. 1996-Jan-04 01:12:00.0000, -3.305760796448623E+07,  1.437160498249415E+08, -2.916973236683011E+04, -3.046289869470765E+01, -6.695334485306180E+00, -4.252638942186149E-02,
2450086.550694444, A.D. 1996-Jan-04 01:13:00.0000, -3.305943573645560E+07,  1.437156480898541E+08, -2.917228361838311E+04, -3.046283361333489E+01, -6.695835093389333E+00, -4.251532871086106E-02,
2450086.551388889, A.D. 1996-Jan-04 01:14:00.0000, -3.306126350451932E+07,  1.437152463247302E+08, -2.917483420625329E+04, -3.046276850668904E+01, -6.696335702252307E+00, -4.250426712613375E-02,
2450086.552083333, A.D. 1996-Jan-04 01:15:00.0000, -3.306309126867590E+07,  1.437148445295698E+08, -2.917738413041085E+04, -3.046270337476998E+01, -6.696836311892321E+00, -4.249320466790296E-02,
2450086.552777778, A.D. 1996-Jan-04 01:16:00.0000, -3.306491902892379E+07,  1.437144427043728E+08, -2.917993339079618E+04, -3.046263821757756E+01, -6.697336922306603E+00, -4.248214133639161E-02,
2450086.553472222, A.D. 1996-Jan-04 01:17:00.0000, -3.306674678526150E+07,  1.437140408491391E+08, -2.918248198735714E+04, -3.046257303511166E+01, -6.697837533492376E+00, -4.247107713182396E-02,
2450086.554166667, A.D. 1996-Jan-04 01:18:00.0000, -3.306857453768750E+07,  1.437136389638687E+08, -2.918502992002666E+04, -3.046250782737212E+01, -6.698338145446865E+00, -4.246001205442207E-02,
2450086.554861111, A.D. 1996-Jan-04 01:19:00.0000, -3.307040228620028E+07,  1.437132370485616E+08, -2.918757718878239E+04, -3.046244259435882E+01, -6.698838758167292E+00, -4.244894610441019E-02,
2450086.555555556, A.D. 1996-Jan-04 01:20:00.0000, -3.307223003079832E+07,  1.437128351032178E+08, -2.919012379354239E+04, -3.046237733607162E+01, -6.699339371650885E+00, -4.243787928201082E-02,
2450086.556250000, A.D. 1996-Jan-04 01:21:00.0000, -3.307405777148010E+07,  1.437124331278370E+08, -2.919266973426938E+04, -3.046231205251037E+01, -6.699839985894863E+00, -4.242681158744954E-02,
2450086.556944444, A.D. 1996-Jan-04 01:22:00.0000, -3.307588550824411E+07,  1.437120311224194E+08, -2.919521501092613E+04, -3.046224674367497E+01, -6.700340600896454E+00, -4.241574302094664E-02,
2450086.557638889, A.D. 1996-Jan-04 01:23:00.0000, -3.307771324108884E+07,  1.437116290869649E+08, -2.919775962341577E+04, -3.046218140956525E+01, -6.700841216652881E+00, -4.240467358272770E-02,
