

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:16:52 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Feb-14 15:30:00.0000 TDB
Stop  time      : A.D. 1996-Feb-16 19:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450128.145833333, A.D. 1996-Feb-14 15:30:00.0000, -1.214273836267889E+08,  8.414218029289427E+07,  1.020949276350439E+02, -1.746545061573851E+01, -2.459606510610617E+01, -6.706892995431701E-04,
2450128.146527778, A.D. 1996-Feb-14 15:31:00.0000, -1.214284315448345E+08,  8.414070452268840E+07,  1.020546916425228E+02, -1.746515090456237E+01, -2.459627508878764E+01, -6.705103674047308E-04,
2450128.147222222, A.D. 1996-Feb-14 15:32:00.0000, -1.214294794448974E+08,  8.413922873988369E+07,  1.020144663900137E+02, -1.746485119054428E+01, -2.459648506779694E+01, -6.703314191511822E-04,
2450128.147916667, A.D. 1996-Feb-14 15:33:00.0000, -1.214305273269773E+08,  8.413775294448034E+07,  1.019742518700659E+02, -1.746455147368426E+01, -2.459669504313398E+01, -6.701524547807480E-04,
2450128.148611111, A.D. 1996-Feb-14 15:34:00.0000, -1.214315751910742E+08,  8.413627713647860E+07,  1.019340480938554E+02, -1.746425175398235E+01, -2.459690501479866E+01, -6.699734743076391E-04,
2450128.149305556, A.D. 1996-Feb-14 15:35:00.0000, -1.214326230371878E+08,  8.413480131587863E+07,  1.018938550539315E+02, -1.746395203143856E+01, -2.459711498279088E+01, -6.697944777265263E-04,
2450128.150000000, A.D. 1996-Feb-14 15:36:00.0000, -1.214336708653179E+08,  8.413332548268072E+07,  1.018536727651954E+02, -1.746365230605293E+01, -2.459732494711054E+01, -6.696154650516206E-04,
2450128.150694444, A.D. 1996-Feb-14 15:37:00.0000, -1.214347186754644E+08,  8.413184963688505E+07,  1.018135012015700E+02, -1.746335257782548E+01, -2.459753490775756E+01, -6.694364362775929E-04,
2450128.151388889, A.D. 1996-Feb-14 15:38:00.0000, -1.214357664676272E+08,  8.413037377849188E+07,  1.017733403816819E+02, -1.746305284675624E+01, -2.459774486473180E+01, -6.692573914275357E-04,
2450128.152083333, A.D. 1996-Feb-14 15:39:00.0000, -1.214368142418060E+08,  8.412889790750137E+07,  1.017331903092563E+02, -1.746275311284523E+01, -2.459795481803320E+01, -6.690783304890147E-04,
