

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:45:24 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: SOHO (spacecraft) (-21)         {source: SOHO_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450162.500000000, A.D. 1996-Mar-20 00:00:00.0000, -1.477417149284377E+08,  8.468458532870999E+05,  1.061066722883374E+05, -6.386691627332173E-01, -2.936464399881890E+01, -1.216519101999758E-02,
2450162.500694444, A.D. 1996-Mar-20 00:01:00.0000, -1.477417532391552E+08,  8.450839743389024E+05,  1.061059419106329E+05, -6.383196755371938E-01, -2.936464763318230E+01, -1.216676420283136E-02,
2450162.501388889, A.D. 1996-Mar-20 00:02:00.0000, -1.477417915284763E+08,  8.433220951633046E+05,  1.061052114162787E+05, -6.379701900767474E-01, -2.936465126665938E+01, -1.216834191629168E-02,
2450162.502083333, A.D. 1996-Mar-20 00:03:00.0000, -1.477418297971078E+08,  8.415602157485737E+05,  1.061044807775475E+05, -6.376207051027460E-01, -2.936465489698517E+01, -1.216992067508471E-02,
2450162.502777778, A.D. 1996-Mar-20 00:04:00.0000, -1.477418680451084E+08,  8.397983360998244E+05,  1.061037500055881E+05, -6.372712206051188E-01, -2.936465852377813E+01, -1.217150011006218E-02,
2450162.503472222, A.D. 1996-Mar-20 00:05:00.0000, -1.477419062725121E+08,  8.380364562229873E+05,  1.061030191134434E+05, -6.369217366024821E-01, -2.936466214671125E+01, -1.217307993734629E-02,
2450162.504166667, A.D. 1996-Mar-20 00:06:00.0000, -1.477419444793528E+08,  8.362745761239823E+05,  1.061022881141088E+05, -6.365722530911894E-01, -2.936466576544677E+01, -1.217465984230870E-02,
2450162.504861111, A.D. 1996-Mar-20 00:07:00.0000, -1.477419826656616E+08,  8.345126958085698E+05,  1.061015570202254E+05, -6.362227700477719E-01, -2.936466937965140E+01, -1.217623949707658E-02,
2450162.505555556, A.D. 1996-Mar-20 00:08:00.0000, -1.477420208314640E+08,  8.327508152822270E+05,  1.061008258437744E+05, -6.358732874320159E-01, -2.936467298901134E+01, -1.217781857857148E-02,
2450162.506250000, A.D. 1996-Mar-20 00:09:00.0000, -1.477420589767771E+08,  8.309889345500263E+05,  1.061000945958178E+05, -6.355238051905369E-01, -2.936467659324692E+01, -1.217939678645408E-02,
