

*******************************************************************************
Ephemeris / WWW_USER Wed Mar 13 03:07:17 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Feb-13 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Feb-16 00:00:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240312.p240605
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-12. PREDICTS-> 2024-JUN-04
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450126.500000000, A.D. 1996-Feb-13 00:00:00.0000, -1.759065604359967E+05, -3.100169316255259E+05, -1.096483482368223E+05,  9.485264504327293E-01, -4.347943472086288E-01, -1.175842331141321E-01,
2450126.520833333, A.D. 1996-Feb-13 00:30:00.0000, -1.741969821817575E+05, -3.107956350403847E+05, -1.098586118802966E+05,  9.510012862325836E-01, -4.304293365073464E-01, -1.160413680420368E-01,
2450126.541666667, A.D. 1996-Feb-13 01:00:00.0000, -1.724829690001165E+05, -3.115664688673833E+05, -1.100660947625042E+05,  9.534541311160490E-01, -4.260503765478593E-01, -1.144945041951463E-01,
2450126.562500000, A.D. 1996-Feb-13 01:30:00.0000, -1.707645605633338E+05, -3.123294080836625E+05, -1.102707897171562E+05,  9.558848866883169E-01, -4.216575627879489E-01, -1.129436766175003E-01,
2450126.583333333, A.D. 1996-Feb-13 02:00:00.0000, -1.690417967204483E+05, -3.130844278388259E+05, -1.104726896412464E+05,  9.582934549235983E-01, -4.172509913950839E-01, -1.113889205793318E-01,
2450126.604166667, A.D. 1996-Feb-13 02:30:00.0000, -1.673147174966090E+05, -3.138315034562174E+05, -1.106717874954588E+05,  9.606797381712671E-01, -4.128307592468611E-01, -1.098302715770283E-01,
2450126.625000000, A.D. 1996-Feb-13 03:00:00.0000, -1.655833630923936E+05, -3.145706104342000E+05, -1.108680763045742E+05,  9.630436391620492E-01, -4.083969639313985E-01, -1.082677653330764E-01,
2450126.645833333, A.D. 1996-Feb-13 03:30:00.0000, -1.638477738831167E+05, -3.153017244474352E+05, -1.110615491578775E+05,  9.653850610142444E-01, -4.039497037476822E-01, -1.067014377959893E-01,
2450126.666666667, A.D. 1996-Feb-13 04:00:00.0000, -1.621079904181262E+05, -3.160248213481627E+05, -1.112521992095640E+05,  9.677039072399928E-01, -3.994890777058649E-01, -1.051313251402171E-01,
