

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 12 08:34:58 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1995-Dec-02 00:02:00.0000 TDB
Stop  time      : A.D. 2005-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240311.p240604
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-11. PREDICTS-> 2024-JUN-03
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450053.501388889, A.D. 1995-Dec-02 00:02:00.0000,  3.807407675552496E+05,  8.409602114794670E+04,  8.184659494425625E+03, -1.678905394533208E-01,  9.885203312321551E-01, -8.711081347916738E-02,
2450054.501388889, A.D. 1995-Dec-03 00:02:00.0000,  3.568068081020247E+05,  1.667736444044943E+05,  5.151602013436641E+02, -3.827246327548934E-01,  9.177473123119928E-01, -8.966616593204385E-02,
2450055.501388889, A.D. 1995-Dec-04 00:02:00.0000,  3.153161161821368E+05,  2.414659297538917E+05, -7.181542972484924E+03, -5.729571120185117E-01,  8.047595407116745E-01, -8.777850876684284E-02,
2450056.501388889, A.D. 1995-Dec-05 00:02:00.0000,  2.587169234544025E+05,  3.048210139402965E+05, -1.453358271640842E+04, -7.314019923177272E-01,  6.565519142986718E-01, -8.174999364479779E-02,
2450057.501388889, A.D. 1995-Dec-06 00:02:00.0000,  1.900052353999484E+05,  3.541272409692806E+05, -2.120109167017789E+04, -8.525630512381178E-01,  4.809003832920106E-01, -7.201498133923621E-02,
2450058.501388889, A.D. 1995-Dec-07 00:02:00.0000,  1.125794747144302E+05,  3.873682152161177E+05, -2.688654458144827E+04, -9.326173464631429E-01,  2.860759451509405E-01, -5.911509992876580E-02,
2450059.501388889, A.D. 1995-Dec-08 00:02:00.0000,  3.009745086250189E+04,  4.032534509532882E+05, -3.134293584224342E+04, -9.693726756489771E-01,  8.056534337670297E-02, -4.367384932330316E-02,
2450060.501388889, A.D. 1995-Dec-09 00:02:00.0000, -5.366092436343816E+04,  4.012255465747041E+05, -3.437973735815968E+04, -9.621745645394983E-01, -1.271887403135527E-01, -2.637087138341355E-02,
2450061.501388889, A.D. 1995-Dec-10 00:02:00.0000, -1.349205403682455E+05,  3.814468701007706E+05, -3.586670423380361E+04, -9.117610555408564E-01, -3.289963847979687E-01, -7.918413021767198E-03,
