

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 12 06:55:14 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1995-Dec-02 00:02:00.0000 TDB
Stop  time      : A.D. 2005-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240311.p240604
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-MAR-11. PREDICTS-> 2024-JUN-03
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450053.501388889, A.D. 1995-Dec-02 00:02:00.0000, -5.193653381941471E+07, -1.266560936972888E+08, -5.491346386849014E+07,  2.836504444984904E+01, -9.510634921798946E+00, -4.124544878797778E+00,
2450054.501388889, A.D. 1995-Dec-03 00:02:00.0000, -4.947801544374513E+07, -1.274582457023360E+08, -5.526134295527293E+07,  2.854369431862664E+01, -9.057271916694884E+00, -3.928016764870006E+00,
2450055.501388889, A.D. 1995-Dec-04 00:02:00.0000, -4.700442636646592E+07, -1.282211176110490E+08, -5.559219196084930E+07,  2.871390868699244E+01, -8.601385143290985E+00, -3.730335616307889E+00,
2450056.501388889, A.D. 1995-Dec-05 00:02:00.0000, -4.451649426944804E+07, -1.289444942546461E+08, -5.590591267281073E+07,  2.887571112221661E+01, -8.143039752691582E+00, -3.531533681944618E+00,
2450057.501388889, A.D. 1995-Dec-06 00:02:00.0000, -4.201494555884433E+07, -1.296281657204948E+08, -5.620240958144940E+07,  2.902910762070444E+01, -7.682292818684921E+00, -3.331641460012672E+00,
2450058.501388889, A.D. 1995-Dec-07 00:02:00.0000, -3.950050687397653E+07, -1.302719267955949E+08, -5.648158977548398E+07,  2.917408684222123E+01, -7.219196590251874E+00, -3.130688777988386E+00,
2450059.501388889, A.D. 1995-Dec-08 00:02:00.0000, -3.697390656506231E+07, -1.308755766876450E+08, -5.674336292946441E+07,  2.931062065984911E+01, -6.753801670317281E+00, -2.928705834376105E+00,
2450060.501388889, A.D. 1995-Dec-09 00:02:00.0000, -3.443587609830855E+07, -1.314389190135168E+08, -5.698764137770913E+07,  2.943866532224529E+01, -6.286159977853807E+00, -2.725724142072899E+00,
2450061.501388889, A.D. 1995-Dec-10 00:02:00.0000, -3.188715133214149E+07, -1.319617620214454E+08, -5.721434026105633E+07,  2.955816324908504E+01, -5.816327128921746E+00, -2.521777248810670E+00,
